dataset_name,method_name,Purity,ARI,RI,NMI,Runtime,Fit_size,number_of_classes_in_fit,number_of_classes_in_total,parameters_names,parameters_value
UCR_FiftyWords,Kmedoids,0.4552147239263803,0.2653974435306448,0.9332599749777664,0.5618778356207168,5.580240488052368,90,32,50,[k|distance_measure|transformation],[32|SBD|default]
UCR_FiftyWords,KShapes,0.452760736196319,0.3308784493990062,0.9388764112690492,0.5478158036838823,9.371599912643433,90,32,50,[k|distance_measure|transformation],[32|SBD|default]
UCR_FiftyWords,StreamLS,0.101840490797546,0.0594215004975981,0.8256281937263532,0.1852604715627524,5.9288647174835205,90,32,50,[k|distance_measure|transformation|slide],[32|euclidean|default|90]
UCR_FiftyWords,Kmeans,0.3128834355828221,0.1036245776633516,0.924481090125262,0.394953547210479,1.560435771942139,90,32,50,[k|distance_measure|transformation],[32|euclidean|catch22]
UCR_FiftyWords,Kmedoids,0.2895705521472392,0.0921871671636644,0.9241283670731524,0.3912434388691905,1.5680091381072998,90,32,50,[k|distance_measure|transformation],[32|euclidean|catch22]
UCR_FiftyWords,StreamLS,0.0306748466257668,0.03903672918676,0.7211799641247494,0.1574335444207019,2.017132520675659,90,32,50,[k|distance_measure|transformation|slide],[32|euclidean|catch22|90]
UCR_FiftyWords,BURST,0.1460122699386503,0.0164996410277878,0.2988468669450264,0.1340459196139202,76.39342713356018,90,32,50,[window],[90]
UCR_FiftyWords,Kmeans,0.4822085889570552,0.2723119198419782,0.9439592408917562,0.5689409010733042,0.0862905979156494,90,32,50,[k|distance_measure|transformation],[50|euclidean|default]
UCR_FiftyWords,Kmedoids,0.4895705521472392,0.2252938354979713,0.9450023364133794,0.5645456530313914,0.193894624710083,90,32,50,[k|distance_measure|transformation],[50|euclidean|default]
UCR_FiftyWords,Kmedoids,0.5276073619631901,0.2698625705076922,0.9470613949141556,0.6105078743806649,8.237108945846558,90,32,50,[k|distance_measure|transformation],[50|SBD|default]
UCR_FiftyWords,KShapes,0.5214723926380368,0.3113226460612293,0.9484994196650638,0.6093630028490435,15.825759172439575,90,32,50,[k|distance_measure|transformation],[50|SBD|default]
UCR_FiftyWords,StreamLS,0.0993865030674846,0.0335628867179454,0.8560045823849505,0.2173964650579951,9.78439712524414,90,32,50,[k|distance_measure|transformation|slide],[50|euclidean|default|90]
UCR_FiftyWords,Kmeans,0.3337423312883436,0.0862209119532273,0.9348457213487888,0.4312697521275822,1.5433497428894043,90,32,50,[k|distance_measure|transformation],[50|euclidean|catch22]
UCR_FiftyWords,Kmedoids,0.3116564417177914,0.0785248116355506,0.9358104339699432,0.4266941968123548,1.6180696487426758,90,32,50,[k|distance_measure|transformation],[50|euclidean|catch22]
UCR_FiftyWords,StreamLS,0.0294478527607361,0.0310663722303811,0.7085392140606864,0.1272964064319113,2.3534457683563232,90,32,50,[k|distance_measure|transformation|slide],[50|euclidean|catch22|90]
UCR_Crop,Kmeans,0.1401388888888889,0.1796838771817997,0.8577116438861195,0.3645473772692035,0.1218392848968505,2400,8,24,[k|distance_measure|transformation],[8|euclidean|default]
UCR_Crop,Kmedoids,0.1216666666666666,0.130106043458636,0.808621708309541,0.3356896335339737,11.15111207962036,2400,8,24,[k|distance_measure|transformation],[8|euclidean|default]
UCR_Crop,Kmedoids,0.1204629629629629,0.1217578042790195,0.8177676950064561,0.2831211382213655,444.32767367362976,2400,8,24,[k|distance_measure|transformation],[8|SBD|default]
UCR_Crop,KShapes,0.1293518518518518,0.1354514557169806,0.8457686741327187,0.2915980373006447,82.52527642250061,2400,8,24,[k|distance_measure|transformation],[8|SBD|default]
UCR_Crop,StreamLS,0.0850462962962963,0.0694535256881313,0.8154236907401405,0.2232542646598893,6.278594493865967,2400,8,24,[k|distance_measure|transformation|slide],[8|euclidean|default|2400]
UCR_Crop,Kmeans,0.1116203703703703,0.1123366386492015,0.8514842336665106,0.2795889452924238,5.889960765838623,2400,8,24,[k|distance_measure|transformation],[8|euclidean|catch22]
UCR_Crop,Kmedoids,0.1093055555555555,0.112651316200314,0.8545761120628013,0.2711784160234296,17.29957914352417,2400,8,24,[k|distance_measure|transformation],[8|euclidean|catch22]
UCR_Crop,StreamLS,0.0927777777777777,0.0433310165316238,0.6867254442506769,0.1888807432824508,9.09734272956848,2400,8,24,[k|distance_measure|transformation|slide],[8|euclidean|catch22|2400]
UCR_Crop,BURST,0.0756018518518518,0.0457624334488394,0.657251827502302,0.216313933392612,399.3136131763458,2400,8,24,[window],[2400]
UCR_Crop,Kmeans,0.3449074074074074,0.2158286167341438,0.926634973669906,0.3887251863532906,0.1328682899475097,2400,8,24,[k|distance_measure|transformation],[24|euclidean|default]
UCR_Crop,Kmedoids,0.3001388888888889,0.1861602568465013,0.9081222167349996,0.3590374823053812,13.815029859542848,2400,8,24,[k|distance_measure|transformation],[24|euclidean|default]
UCR_Crop,Kmedoids,0.3159722222222222,0.176765972316576,0.9193286126072366,0.3379090300124434,496.3350112438202,2400,8,24,[k|distance_measure|transformation],[24|SBD|default]
UCR_Crop,KShapes,0.2984259259259259,0.1701344172180656,0.9231773290258636,0.3301244923282976,263.539834022522,2400,8,24,[k|distance_measure|transformation],[24|SBD|default]
UCR_Crop,StreamLS,0.2160185185185185,0.0978616273412822,0.8491956417735389,0.275258557087046,18.08492398262024,2400,8,24,[k|distance_measure|transformation|slide],[24|euclidean|default|2400]
UCR_Crop,Kmeans,0.2874537037037037,0.1379893350200954,0.9265308150411627,0.3169073171132484,5.857332468032837,2400,8,24,[k|distance_measure|transformation],[24|euclidean|catch22]
UCR_Crop,Kmedoids,0.2761111111111111,0.1376081815117025,0.9229373616405424,0.2996303358522055,20.49327492713928,2400,8,24,[k|distance_measure|transformation],[24|euclidean|catch22]
UCR_Crop,StreamLS,0.1354629629629629,0.0617927446424285,0.7665614748968145,0.2255751442991269,14.941384553909302,2400,8,24,[k|distance_measure|transformation|slide],[24|euclidean|catch22|2400]
UCR_PLAID,Kmeans,0.1044467425025853,0.0682674926789756,0.530956341891102,0.1121637917279388,0.0190546512603759,107,2,11,[k|distance_measure|transformation],[2|euclidean|default]
UCR_PLAID,Kmedoids,0.1044467425025853,0.0296605108593548,0.4600876545033732,0.0679970698415604,0.0806193351745605,107,2,11,[k|distance_measure|transformation],[2|euclidean|default]
UCR_PLAID,Kmedoids,0.1044467425025853,0.0264891907720669,0.4779953796185081,0.0607271677390396,2.673654556274414,107,2,11,[k|distance_measure|transformation],[2|SBD|default]
UCR_PLAID,KShapes,0.1044467425025853,0.0659437606389233,0.483617771554465,0.1602063220271997,6.536879777908325,107,2,11,[k|distance_measure|transformation],[2|SBD|default]
UCR_PLAID,StreamLS,0.108583247156153,0.0236655254800716,0.3049087806517778,0.0849700989380946,2.469223022460937,107,2,11,[k|distance_measure|transformation|slide],[2|euclidean|default|107]
UCR_PLAID,Kmeans,0.1168562564632885,0.0654762962246233,0.4184913747883039,0.1459856860915819,11.258577585220335,107,2,11,[k|distance_measure|transformation],[2|euclidean|catch22]
UCR_PLAID,Kmedoids,0.1168562564632885,0.0739287985499836,0.4326394196903616,0.1593386065129948,11.244672536849976,107,2,11,[k|distance_measure|transformation],[2|euclidean|catch22]
UCR_PLAID,StreamLS,0.1168562564632885,0.0383088688643594,0.374501403456936,0.0996133262201825,11.263285398483276,107,2,11,[k|distance_measure|transformation|slide],[2|euclidean|catch22|107]
UCR_PLAID,BURST,0.4002068252326783,0.1208193145192801,0.6815512320660471,0.293951803271631,397.3476960659027,107,2,11,[window],[107]
UCR_PLAID,Kmeans,0.4136504653567735,0.1695525177429263,0.8061024148879911,0.2655154361803146,0.0906133651733398,107,2,11,[k|distance_measure|transformation],[11|euclidean|default]
UCR_PLAID,Kmedoids,0.3784901758014478,0.166686090920189,0.8021800150301567,0.2160277789159622,0.1346590518951416,107,2,11,[k|distance_measure|transformation],[11|euclidean|default]
UCR_PLAID,Kmedoids,0.437435367114788,0.2093623703399973,0.8193105397367796,0.3217848184456405,5.7647576332092285,107,2,11,[k|distance_measure|transformation],[11|SBD|default]
UCR_PLAID,KShapes,0.4457083764219234,0.1965722219495401,0.8163109315485557,0.3444386461102897,33.625510454177856,107,2,11,[k|distance_measure|transformation],[11|SBD|default]
UCR_PLAID,StreamLS,0.2605997931747673,0.0398186402304562,0.6409698090827537,0.1464064432667733,12.166515111923218,107,2,11,[k|distance_measure|transformation|slide],[11|euclidean|default|107]
UCR_PLAID,Kmeans,0.3578076525336091,0.1213386911812947,0.6663476505210241,0.2543092496967658,11.717070579528809,107,2,11,[k|distance_measure|transformation],[11|euclidean|catch22]
UCR_PLAID,Kmedoids,0.3578076525336091,0.1007336250117944,0.8057941039821351,0.2214332269891872,11.742900848388672,107,2,11,[k|distance_measure|transformation],[11|euclidean|catch22]
UCR_PLAID,StreamLS,0.4002068252326783,0.1466386268632171,0.7928471869841413,0.2477006518049946,11.883034706115724,107,2,11,[k|distance_measure|transformation|slide],[11|euclidean|catch22|107]
UCR_DistalPhalanxTW,BURST,0.7016460905349794,0.2627757837098475,0.7664078740825591,0.4041325215774968,61.60498571395874,53,4,6,[window],[53]
UCR_BME,BURST,0.808641975308642,0.1806848860643733,0.6977992485238862,0.3933274469666354,8.85185432434082,18,2,3,[window],[18]
UCR_Meat,BURST,0.9074074074074074,0.2153605788591308,0.7146071304949809,0.489489478092411,9.752984046936035,12,1,3,[window],[12]
UCR_MiddlePhalanxTW,BURST,0.5863453815261044,0.1611724050073872,0.7788174832125282,0.3027270546133177,24.397759199142456,55,4,6,[window],[55]
UCR_GunPointOldVersusYoung,BURST,0.7610837438423645,0.0544455169574928,0.5192483123517606,0.1541789992223664,29.42092037200928,45,1,2,[window],[45]
UCR_CBF,DTC,0.4970131421744325,0.0919834688838936,0.5630555698467413,0.1427320789016841,30.562793970108032,93,3,3,[k|distance_measure|transformation],[3|euclidean|catch22]
UCR_FaceAll,DTC,0.2237037037037037,0.0984087879791063,0.7648260381593714,0.2235815163819419,55.41276407241821,225,6,14,[k|distance_measure|transformation],[6|euclidean|default]
UCR_FaceAll,DTC,0.1195061728395061,0.0495792925844216,0.5921236519787244,0.1541409937994486,34.75136375427246,225,6,14,[k|distance_measure|transformation],[6|euclidean|catch22]
UCR_FaceAll,DTC,0.0874074074074074,0.0655106178383717,0.4886580783682233,0.1477373891962086,33.474616050720215,225,6,14,[k|distance_measure|transformation],[14|euclidean|catch22]
UCR_FaceFour,DTC,0.504950495049505,0.2078077807767704,0.6673267326732674,0.247900711335594,27.6314914226532,11,3,4,[k|distance_measure|transformation],[3|euclidean|default]
UCR_FaceFour,DTC,0.4356435643564356,0.2666048132162182,0.6443564356435644,0.3134053803978734,25.123579025268555,11,3,4,[k|distance_measure|transformation],[3|euclidean|catch22]
UCR_FaceFour,DTC,0.2871287128712871,0.0,0.2528712871287129,0.0,19.255215406417847,11,3,4,[k|distance_measure|transformation],[4|euclidean|catch22]
UCR_TwoPatterns,DTC,0.2915555555555555,0.003754622856532,0.5364866266577758,0.0183758589621988,42.96028900146485,500,4,4,[k|distance_measure|transformation],[4|euclidean|catch22]
UCR_ACSF1,DTC,0.1333333333333333,0.0895101480163908,0.5379267535692117,0.2239812691887072,77.07560157775879,20,2,10,[k|distance_measure|transformation],[2|euclidean|default]
UCR_ACSF1,DTC,0.1166666666666666,0.0889706858779856,0.5265673494723774,0.22636275314256,21.793573141098022,20,2,10,[k|distance_measure|transformation],[2|euclidean|catch22]
