dataset_name,method_name,ARI,Purity,RI,NMI,Runtime
UCR_MiddlePhalanxTW,BURST_LNK_NaiveMerge,0.06541585756612142,0.6566265060240963,0.7788821281100257,0.31136226529115235,12.174442052841187
UCR_SmoothSubspace,BURST_LNK_NaiveMerge,0.02992771448396049,0.674074074074074,0.6590940382761944,0.1859905387055906,4.989580392837524
UCR_StarLightCurves,BURST_SNK_NaiveMerge,0.1976242436584992,0.8567304222302418,0.637829161672286,0.3874242473236388,119.68013644218445
UCR_Chinatown,BURST_SNK_NaiveMerge,0.06044170244506776,0.8905775075987842,0.4273852768922826,0.23604269777813924,4.451809644699097
UCR_FreezerSmallTrain,BURST_SNK_NaiveMerge,0.10526895779868702,0.8216904670011579,0.5494126535423332,0.22768985609635264,35.48200225830078
UCR_Haptics,BURST_SNK_NaiveMerge,0.02242879292740354,0.3764988009592326,0.7453076000737872,0.09054234870455108,41.04619526863098
UCR_ECG200,BURST_SNK_NaiveMerge,0.03601768239385595,0.7777777777777778,0.4733705772811918,0.10810348969571205,4.226091623306274
UCR_GunPoint,BURST_SNK_NaiveMerge,0.03256381490197846,0.7166666666666667,0.5184357541899441,0.13090287858368715,4.25139856338501
UCR_ToeSegmentation2,BURST_SNK_NaiveMerge,0.028297528618527357,0.84,0.3952572706935123,0.14461989577536866,5.569344758987427
UCR_FreezerRegularTrain,BURST_SNK_NaiveMerge,0.10084721306096839,0.8162962962962963,0.5494688018882165,0.2248069275137193,26.64691138267517
UCR_Trace,BURST_SNK_NaiveMerge,0.19615428786092853,0.6722222222222223,0.7600248292985723,0.4324402005137265,5.22249960899353
UCR_DistalPhalanxOutlineAgeGroup,BURST_SNK_NaiveMerge,0.0703232378394142,0.7901234567901234,0.5453650672436469,0.2038487544117293,6.122596025466919
UCR_MedicalImages,BURST_SNK_NaiveMerge,0.011697398551747581,0.5189873417721519,0.666583151593145,0.14084627100577404,10.077978610992432
UCR_ItalyPowerDemand,BURST_SNK_NaiveMerge,0.07904193163055605,0.7922998986828774,0.5398887361254113,0.19492390180529412,8.528533458709717
UCR_FordA,BURST_SNK_NaiveMerge,0.02366913453726772,0.678482727477986,0.5116067970343284,0.04703516658477901,91.08022212982178
UCR_MiddlePhalanxOutlineAgeGroup,BURST_SNK_NaiveMerge,0.11295076314857659,0.7314629258517034,0.6298782303562949,0.22794704777471125,5.258321285247803
UCR_ArrowHead,BURST_SNK_NaiveMerge,0.12806079179436705,0.7263157894736842,0.6788638262322473,0.33576281951398834,5.827955007553101
UCR_SonyAIBORobotSurface1,BURST_SNK_NaiveMerge,0.11213059430714938,0.8801431127012522,0.5503106545867236,0.26222449152923005,7.143385171890259
UCR_ShapeletSim,BURST_SNK_NaiveMerge,0.12508855040633926,0.8888888888888888,0.5644320297951583,0.2719411413771534,6.606011152267456
UCR_Phoneme,BURST_LNK_NaiveMerge,0.04307912939375928,0.3175355450236967,0.9409655461723241,0.34166696367128646,605.9158465862274
UCR_Coffee,BURST_LNK_NaiveMerge,0.09307706130761628,0.9019607843137255,0.5529411764705883,0.3004687070698823,1.4218013286590576
UCR_Computers,BURST_LNK_NaiveMerge,0.012168020157200775,0.7488888888888889,0.5014105419450631,0.10047865369155147,35.236040353775024
UCR_Plane,BURST_LNK_NaiveMerge,0.4397515677806777,0.8994708994708994,0.8955307891478105,0.7100813518795495,3.0352067947387695
UCR_GunPointMaleVersusFemale,BURST_LNK_NaiveMerge,0.051995235676828566,0.9285714285714286,0.5257921303898315,0.25300907042007875,6.270545959472656
UCR_BirdChicken,BURST_LNK_NaiveMerge,0.010201999591920016,0.7777777777777778,0.5111111111111111,0.1877121833296986,2.0959439277648926
UCR_Wine,BURST_LNK_NaiveMerge,0.04197564339860651,0.83,0.5224242424242425,0.22557124163141268,2.3857996463775635
UCR_ElectricDevices,BURST_LNK_NaiveMerge,0.026291790323836876,0.6535995725924937,0.8168945587298221,0.2663610253092001,2127.6372950077057
UCR_FaceFour,BURST_LNK_NaiveMerge,0.16308811428757053,0.7623762376237624,0.7615841584158416,0.4193860568841754,3.7555620670318604
UCR_WordSynonyms,BURST_LNK_NaiveMerge,0.07459928117617236,0.48098159509202454,0.9009330579882727,0.41632403650162836,29.08129620552063
UCR_HouseTwenty,BURST_LNK_NaiveMerge,0.03366768437552911,0.5138888888888888,0.5193278943278943,0.13476073594349006,96.16039085388184
UCR_BeetleFly,BURST_LNK_NaiveMerge,0.02839342253089572,0.8055555555555556,0.5206349206349207,0.18564142117029775,2.0617430210113525
UCR_SemgHandGenderCh2,BURST_LNK_NaiveMerge,0.031838439842773514,0.762962962962963,0.5110714340215783,0.1234118992173219,262.6287696361542
UCR_Lightning7,BURST_LNK_NaiveMerge,0.19690937619006624,0.5813953488372093,0.8177083333333334,0.46065137571040704,3.397195816040039
UCR_GunPointAgeSpan,BURST_LNK_NaiveMerge,0.03703902666295637,0.8571428571428571,0.5152830991911451,0.1944571387629171,6.803197383880615
UCR_Car,BURST_LNK_NaiveMerge,0.08762593578679959,0.6296296296296297,0.7447213568708896,0.2933715493347459,5.755766153335571
UCR_GunPointOldVersusYoung,BURST_LNK_NaiveMerge,0.035613073449049674,0.8522167487684729,0.5071580611810497,0.1944754034014249,6.849534034729004
UCR_WormsTwoClass,BURST_LNK_NaiveMerge,0.004780651746252567,0.7124463519313304,0.46881012283557794,0.08230505585180103,24.033119201660156
UCR_BME,BURST_LNK_NaiveMerge,0.09938211526811215,0.8209876543209876,0.6848401196227283,0.36021504069825383,2.7375330924987793
UCR_InsectEPGRegularTrain,BURST_LNK_NaiveMerge,0.0749069651031103,0.8214285714285714,0.6370711725550435,0.29923182678475496,15.735756635665894
UCR_UMD,BURST_LNK_NaiveMerge,0.08206678612726968,0.7283950617283951,0.6698105973468292,0.2945633847459703,3.0830001831054688
UCR_Ham,BURST_LNK_NaiveMerge,0.01532347977067111,0.7409326424870466,0.500107944732297,0.11296052399112544,7.0464746952056885
UCR_ShapesAll,BURST_LNK_NaiveMerge,0.16687012968265674,0.3509259259259259,0.9640956990354581,0.5907961265009849,61.26994013786316
